id,Prevention_Knowledge
1000188,Avoid close contact with anyone who has a fever and cough
1000123,Cover your mouth and nose when coughing or sneezing
1000109,Wash your hands regularly using alcohol or soap and water
1000109,Cover your mouth and nose when coughing or sneezing
1000109,Avoid close contact with anyone who has a fever and cough
1000109,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000270,Wash your hands regularly using alcohol or soap and water
1000270,Cover your mouth and nose when coughing or sneezing
1000270,Avoid close contact with anyone who has a fever and cough
1000270,Cook meat and eggs well
1000229,Cover your mouth and nose when coughing or sneezing
1000229,Avoid close contact with anyone who has a fever and cough
1000150,Wash your hands regularly using alcohol or soap and water
1000150,Drink only treated water
1000150,Cover your mouth and nose when coughing or sneezing
1000319,Wash your hands regularly using alcohol or soap and water
1000319,Drink only treated water
1000319,Cover your mouth and nose when coughing or sneezing
1000319,Avoid close contact with anyone who has a fever and cough
1000319,Cook meat and eggs well
1000319,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000124,Wash your hands regularly using alcohol or soap and water
1000124,Cover your mouth and nose when coughing or sneezing
1000124,Avoid close contact with anyone who has a fever and cough
1000124,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000160,Wash your hands regularly using alcohol or soap and water
1000160,Drink only treated water
1000160,Cover your mouth and nose when coughing or sneezing
1000160,Avoid close contact with anyone who has a fever and cough
1000160,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000184,Wash your hands regularly using alcohol or soap and water
1000184,Drink only treated water
1000184,Cover your mouth and nose when coughing or sneezing
1000184,Avoid close contact with anyone who has a fever and cough
1000184,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000172,Wash your hands regularly using alcohol or soap and water
1000172,Drink only treated water
1000172,Cover your mouth and nose when coughing or sneezing
1000172,Avoid close contact with anyone who has a fever and cough
1000172,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000240,Wash your hands regularly using alcohol or soap and water
1000240,Cover your mouth and nose when coughing or sneezing
1000240,Avoid close contact with anyone who has a fever and cough
1000112,Wash your hands regularly using alcohol or soap and water
1000112,Cover your mouth and nose when coughing or sneezing
1000112,Avoid close contact with anyone who has a fever and cough
1000263,Wash your hands regularly using alcohol or soap and water
1000263,Drink only treated water
1000263,Cover your mouth and nose when coughing or sneezing
1000263,Avoid close contact with anyone who has a fever and cough
1000263,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000322,Wash your hands regularly using alcohol or soap and water
1000322,Cover your mouth and nose when coughing or sneezing
1000138,Wash your hands regularly using alcohol or soap and water
1000138,Cover your mouth and nose when coughing or sneezing
1000138,Avoid close contact with anyone who has a fever and cough
1000138,Cook meat and eggs well
1000138,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000310,Wash your hands regularly using alcohol or soap and water
1000310,Drink only treated water
1000310,Cover your mouth and nose when coughing or sneezing
1000310,Avoid close contact with anyone who has a fever and cough
1000310,Cook meat and eggs well
1000310,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000257,Wash your hands regularly using alcohol or soap and water
1000257,Cover your mouth and nose when coughing or sneezing
1000257,Avoid close contact with anyone who has a fever and cough
1000257,Wearing nose masks when going out and avoid crowded places . Also ensuring social distancing 
1000287,Wash your hands regularly using alcohol or soap and water
1000287,Cover your mouth and nose when coughing or sneezing
1000287,Avoid close contact with anyone who has a fever and cough
1000287,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000213,Wash your hands regularly using alcohol or soap and water
1000213,Cover your mouth and nose when coughing or sneezing
1000213,Avoid close contact with anyone who has a fever and cough
1000213,Cook meat and eggs well
1000213,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000218,Wash your hands regularly using alcohol or soap and water
1000218,Cover your mouth and nose when coughing or sneezing
1000218,Avoid close contact with anyone who has a fever and cough
1000305,Wash your hands regularly using alcohol or soap and water
1000305,Cover your mouth and nose when coughing or sneezing
1000305,Avoid close contact with anyone who has a fever and cough
1000305,Avoid unprotected direct contact with live animals and surfaces in contact with animals
1000118,Wash your hands regularly using alcohol or soap and water
1000118,Cover your mouth and nose when coughing or sneezing
1000118,Avoid close contact with anyone who has a fever and cough
